x,mean_energy,mean_contrast,std_energy,std_contrast,median_energy,median_contrast,min_brightness,max_brightness,max_energy,energy_snr,contrast_snr
4,119.5093967,0.3193499815,6.04370831,0.04356303402,119.2056267,0.3349229569,20,255,139.8902524,5.320942091,9.56498323
4.1,118.5229557,0.3019348869,5.764359494,0.04196511315,118.5938048,0.3164724185,18,255,140.1269208,5.692218181,9.353016858
4.2,142.154059,0.2916549151,6.703512079,0.03907525148,141.5738082,0.3049159007,28,255,165.3827618,5.862572416,9.325854052
4.3,146.1602063,0.286447841,5.82909979,0.03318769945,145.6835454,0.2949963279,31,255,176.4410998,5.521798392,9.003197321
4.4,78.6491578,0.2772617432,3.78830952,0.03601105004,78.71404992,0.2860173774,18,243,88.97339319,5.981535318,9.311333182
4.5,131.8436422,0.2983244306,5.445749381,0.03246931614,131.8716024,0.3079759713,26,255,149.501266,4.918646528,8.891870663
4.6,60.96973257,0.2855342497,3.009586596,0.03045370904,60.75807621,0.2923082702,16,165,74.4393494,5.90694585,8.392498305
4.7,48.11726909,0.3312810551,2.850320645,0.03499010574,47.99049466,0.3404326777,5,178,59.31488207,5.973901873,8.652107491
4.8,48.88280584,0.3954113816,3.753752345,0.03684991081,48.51628358,0.4014074925,4,255,62.84178975,5.614275248,8.105952848
4.9,23.14501121,0.6088700059,2.171689372,0.05237805298,23.04317203,0.6182177681,0,172,31.26063115,6.035341301,7.179497486
5,163.5801519,0.2918918967,5.070046399,0.03749496049,163.6653902,0.3021124539,35,255,179.4664531,4.443820104,9.986094192
5.1,129.6811384,0.2972455363,6.031160279,0.03707955969,129.1877383,0.3047939987,31,255,149.3376173,5.910219147,9.632092957
5.2,127.345988,0.2863584588,5.797474712,0.03138537513,127.2088991,0.2951098796,30,255,147.1524829,6.747988011,9.078740028
5.3,121.3474014,0.2878869992,5.19682627,0.03641699595,121.1013747,0.2962548875,34,255,137.0733512,5.725946497,9.076071932
5.4,159.7316135,0.2695203981,5.93176277,0.03073450407,159.8391847,0.2769983318,42,255,177.9150662,5.780492233,9.163581205
5.5,240.9494278,0.1286370992,2.159151906,0.0153705172,240.7633902,0.1319484442,62,255,246.6277242,7.416579672,8.181600236
5.6,79.08726244,0.2713465454,3.640416972,0.03263409076,78.87288356,0.2779767135,27,255,96.05866551,5.58859076,8.507540388
5.7,53.36330723,0.322729312,2.824746138,0.03372563222,53.35143858,0.3314484291,14,209,62.10466838,5.570730928,8.05679011
5.8,48.83248805,0.3839094123,3.466099638,0.03772130911,48.76420918,0.3935103465,9,226,61.61565322,5.838053191,8.127350675
5.9,27.31966429,0.5450214222,2.917127539,0.04909049205,27.33071524,0.5567038454,0,126,36.74436071,7.138053937,7.593084222
6,172.6787054,0.2760020555,4.883309805,0.02932862476,172.6428422,0.2856041133,43,255,189.3416038,5.085674053,9.154333067
6.1,135.839813,0.2755323561,4.984961389,0.03150159809,135.6157881,0.2847022076,43,255,153.790522,5.197531921,9.273200902
6.2,177.0744803,0.2608699667,4.63183209,0.02773022303,176.9815678,0.267732015,52,255,193.0711949,4.210316463,8.688646597
6.3,115.001553,0.2738035216,4.090867616,0.03358568669,115.0994375,0.279662153,32,255,128.4802686,4.376499533,9.071416856
6.4,154.5953966,0.2811203437,5.017603711,0.02675339268,154.9813522,0.2869129631,42,255,169.3158453,4.689076563,8.478206747
6.5,100.8519251,0.2736555373,3.62162588,0.03075393783,100.8285037,0.2767772541,33,255,112.4493736,3.935858562,8.264409275
6.6,88.95626275,0.2834123492,3.821121624,0.02828356012,89.01976758,0.2875182734,26,255,101.9170342,5.01355626,8.443893762
6.7,85.32993975,0.3322748654,4.750400337,0.02908378258,85.18298571,0.3382025296,20,255,107.2627033,5.647711784,7.931080822
6.8,70.18116894,0.4118514374,4.687236232,0.03135515673,70.04214882,0.4163800313,13,255,87.90996855,5.320350538,7.638432381
6.9,20.98058927,0.5735922313,2.070364907,0.04077816074,20.81024964,0.5816956948,0,98,28.26897466,7.013280972,7.192650362
7,216.9165033,0.2145957228,3.89795306,0.02127425395,216.9357376,0.2194468077,57,255,228.2611628,5.400447839,8.1804662
7.1,147.081196,0.2717193667,5.267259219,0.02744958868,147.0712416,0.2778815317,45,255,162.1801038,5.433891249,8.632304844
7.2,155.7019075,0.2736697628,5.129626445,0.02839379307,155.8859257,0.2803693512,47,255,169.4965548,5.231550889,8.651612814
7.3,178.4143651,0.2632173004,5.151140303,0.02438776706,178.4973586,0.2692218334,49,255,192.8981379,5.373811935,8.647962569
7.4,111.2627355,0.2633969645,4.44687567,0.03221788743,110.8855705,0.269970923,35,255,128.5110761,5.646403673,8.665503057
7.5,141.8994545,0.2739864735,4.93542357,0.02484958142,141.7925665,0.2776533148,46,255,159.0516068,4.423130457,8.205019405
7.6,108.3844074,0.2982488354,4.603271741,0.02660560763,108.4903779,0.3020013187,27,255,122.5093732,4.979478782,7.829315192
7.7,69.0436294,0.3332063387,3.618314453,0.02971071853,69.04835687,0.3369077766,20,255,80.28137471,4.957320966,7.826689876
7.8,48.13473332,0.3947662591,3.271888357,0.02786464884,48.02908176,0.3991262135,9,193,58.34731967,5.457874534,6.947316827
8,161.5692453,0.2786505904,5.055619729,0.0256785556,161.5147769,0.2853242655,47,255,178.0294125,4.60404107,8.351927457
8.1,191.6064016,0.2487645412,4.78710797,0.02098754754,191.5705534,0.2546809009,56,255,204.4030598,5.376413063,8.146523858
8.2,164.7819282,0.2641005555,5.49652221,0.02342789442,164.6832024,0.269451547,49,255,181.882197,6.044083246,8.304449615
8.3,192.2555706,0.2373413148,4.731684596,0.02098461746,192.4089728,0.2407825674,54,255,206.4204888,5.413756383,7.550705644
8.4,147.9712752,0.2740180682,5.266644416,0.02577053814,147.6521241,0.2798059966,50,255,166.0104698,5.514296753,8.153239306
8.5,159.9778197,0.2772066645,5.270718191,0.02456556964,159.8989542,0.2828122424,38,255,175.9979481,5.086211888,8.376471192
